"row","category","component","cost","cost_basis","purchase_date","purchase_status","notes"
"8","Electrical","Separate 48V negative busbar","","unknown","","Retired","Not required in the locked Lynx topology; the Lynx Distributor provides the negative bus."
"9","Electrical","Separate six-way MEGA fuse holder","","unknown","","Retired","Not required in the locked Lynx topology; the Lynx Distributor provides four fused 48V branch slots."
"17","Electrical","Separate 12V negative busbar","","unknown","","Retired","Not required in the locked 12V fuse-panel topology; the panel's integrated negative bus is the shared return point."
"18","Electrical","Sterling BB1248120 alternator charger","806.65","purchase_record","2026-02-24","Returned","Purchased 2026-02-24 from Amazon: Sterling Power 12V/24V input to 48V output 120A battery-to-battery charger, $806.65, ASIN B0DY9WVQ27. Obsolete/returned after migration to dedicated 48V secondary alternator architecture. Not part of active fuse planning, board layout, or commissioning."
"26","Electrical","Sterling BBR alternator-charger remote","108.80","purchase_record","2026-02-24","Returned","Purchased 2026-02-24 from Amazon: Sterling Power battery-to-battery charger optional remote, $108.80, ASIN B0DYBKJ2FS. Obsolete/returned with pre-Mechman alternator charger path."
"56","Tools","Domino/biscuit joiner","","unknown","","Retired","Retired 2026-07-27 at owner direction. No Domino/biscuit joiner purchase is planned for the current build."
"58","Tools","PEX expansion tool","","unknown","","Retired","Not required for the current PEX-B cinch-clamp system; retained as a retired planning line."
"82","Plumbing","Generic water quick-connect allowance","0.00","not_applicable","","Retired","Replaced by the direct-profile real-hose prototype in row 231. The rejected Sea-Dog plus travel-exposed plastic Melnor 2MQC stack is not the lead wall interface, and QD3 is premium fallback only. Do not drill before actual Joolca fit, valve routine, hot-flow, drain, cap, and panel/backer checks pass."
"83","Plumbing","Separate freshwater check valve","0.00","not_applicable","","Retired","No separate freshwater check-valve purchase is required. The installed SHURflo 4008 pump provides reverse-flow prevention; the accumulator smooths pressure but is not a check valve. Winterization uses the heater/tank drains and a regulated pressure-side blowout point if needed, not back-blowing through the pump."
"85","Plumbing","Propane quick-disconnect","0.00","not_applicable","","Retired","Final HOTTAP architecture uses the supplied four-foot QCC1 regulator/hose connected directly from the upright 10 lb cylinder to the exterior-mounted heater only while parked. Route it through a smooth protected service hatch clear of sharp edges, exhaust, and the box door. No separate LP quick-disconnect or permanent box LP line is in active scope. Travel with the cylinder valve closed and the regulator/hose disconnected."
"88","Interior","Wall and cabinet insulation","","unknown","","Retired","Retired 2026-07-27 at owner direction. Wall/cabinet insulation is not part of the current interior plan; reopen as a new active line only if a later insulation scope is selected."
