row,scenario,category,bom_row,component,power_w,duty_hours_per_day,daily_watt_hours,assumption_note
"0","meta_status","META","META","STATUS","0","0","0","Status: 24V Candidate Variant (non-canonical; canonical remains 48V baseline). Daily Wh totals intentionally kept aligned to canonical model for comparability."
"1","core_workday","Power System","22","Cerbo GX","3","24","72","Always-on monitoring load"
"2","core_workday","Power System","23","SmartShunt","1","24","24","Always-on shunt draw"
"3","core_workday","Appliances","64","CO + Propane Detector","1","24","24","Detector powered continuously"
"4","core_workday","Appliances","61","Fridge (35-50qt)","20.25","24","486","Assume 45W compressor with 45 percent duty cycle"
"5","core_workday","Appliances","79","Starlink Standard","75","10","750","Remote-office workday usage"
"6","core_workday","Appliances","62","Diesel heater electrical","30","6","180","Fan plus pump electrical load"
"7","core_workday","Interior","98","LED strips","18","4","72","Evening lighting profile"
"8","core_workday","Appliances","74","Water pump","60","0.25","15","Intermittent sink and shower usage"
"9","core_workday","Appliances","67","Induction cooktop","1200","0.33","396","One short cooking cycle"
"10","core_workday","Appliances","68","Microwave (compact 700W)","700","0.1","70","One short reheat cycle"
"11","core_workday","Power System","12","Inverter idle overhead","20","12","240","Inverter enabled through workday and evening"
"12","core_workday","Owner-Supplied","OWNER","Laptop (mid-high tier USB-C PD/DC)","70","8","560","Candidate intent is 24V-native USB-C PD where practical; Wh held constant for comparison."
"13","core_workday","Owner-Supplied","OWNER","External monitor (27 inch 1440p)","35","8","280","Candidate intent is to migrate monitor path to native DC where practical; Wh held constant until hardware lock."
"14","core_workday","Owner-Supplied","OWNER","Tablet charging","15","2","30","Intermittent top-up while working"
"15","core_workday","Owner-Supplied","OWNER","Keyboard + mouse charging","10","1","10","Accessory charging allowance"
"16","core_workday","Power System","20","Conversion and distribution losses","0","0","321","Conservative carryover adder retained for cross-architecture comparability; 24V-native-first candidate expects residual 12V conversion only where needed."
"17","core_workday","TOTAL","","TOTAL","0","0","3530","Model v3 (BOM loads + owner-supplied office loads)"
"18","winter_workday","Power System","22","Cerbo GX","3","24","72","Always-on monitoring load"
"19","winter_workday","Power System","23","SmartShunt","1","24","24","Always-on shunt draw"
"20","winter_workday","Appliances","64","CO + Propane Detector","1","24","24","Detector powered continuously"
"21","winter_workday","Appliances","61","Fridge (35-50qt)","18","24","432","Assume 45W compressor with 40 percent duty cycle in colder ambient conditions"
"22","winter_workday","Appliances","79","Starlink Standard","75","10","750","Remote-office workday usage"
"23","winter_workday","Appliances","62","Diesel heater electrical","30","12","360","Longer heater runtime in colder weather"
"24","winter_workday","Interior","98","LED strips","18","6","108","Longer lighting window in winter"
"25","winter_workday","Appliances","74","Water pump","60","0.33","20","More frequent usage"
"26","winter_workday","Appliances","67","Induction cooktop","1200","0.4","480","Longer cook cycle"
"27","winter_workday","Appliances","68","Microwave (compact 700W)","700","0.2","140","Two short reheat cycles"
"28","winter_workday","Power System","12","Inverter idle overhead","20","16","320","Longer on-time for winter operations"
"29","winter_workday","Owner-Supplied","OWNER","Laptop (mid-high tier USB-C PD/DC)","70","10","700","Candidate intent is 24V-native USB-C PD where practical; Wh held constant for comparison."
"30","winter_workday","Owner-Supplied","OWNER","External monitor (27 inch 1440p)","35","10","350","Candidate intent is to migrate monitor path to native DC where practical; Wh held constant until hardware lock."
"31","winter_workday","Owner-Supplied","OWNER","Tablet charging","15","2","30","Intermittent top-up while working"
"32","winter_workday","Owner-Supplied","OWNER","Keyboard + mouse charging","10","1","10","Accessory charging allowance"
"33","winter_workday","Power System","20","Conversion and distribution losses","0","0","382","Conservative carryover adder retained for cross-architecture comparability; 24V-native-first candidate expects residual 12V conversion only where needed."
"34","winter_workday","TOTAL","","TOTAL","0","0","4202","Model v3 (BOM loads + owner-supplied office loads)"
"35","minimal_idle_day","Power System","22","Cerbo GX","3","24","72","Always-on monitoring load"
"36","minimal_idle_day","Power System","23","SmartShunt","1","24","24","Always-on shunt draw"
"37","minimal_idle_day","Appliances","64","CO + Propane Detector","1","24","24","Detector powered continuously"
"38","minimal_idle_day","Appliances","61","Fridge (35-50qt)","18","24","432","Assume 45W compressor with 40 percent duty cycle"
"39","minimal_idle_day","Interior","98","LED strips","18","2","36","Low-light minimal occupancy profile"
"40","minimal_idle_day","Appliances","74","Water pump","60","0.1","6","Minimal water use day"
"41","minimal_idle_day","Power System","20","Conversion and distribution losses","0","0","30","Conservative carryover adder retained for comparability; residual 12V-only loads expected to be small in 24V candidate."
"42","minimal_idle_day","TOTAL","","TOTAL","0","0","624","Model v3 (BOM loads + owner-supplied office loads)"
